StockCode,StockName_KR,MarketCap,ClosingPrice,DailyVolume,VolumeSpike,TrendArrow,MA20,MA60,RSI(14),MACD,MACD_Signal,Volatility(ATR),OBV,PearlScore,PearlScore_Normalized,PearlScore_Stars,PearlScore_Status
384470,코어라인소프트,,2930.0,66413,1.09,↑,2954.75,3217.33,44.44,-58.93,-69.88,158.93,60424477,1.1,55.0,★★★☆☆,OK
370090,퓨런티어,,6140.0,11738,0.45,→,6647.0,9462.33,33.12,-686.81,-779.58,511.43,87085256,0.33,16.5,★☆☆☆☆,OK
457370,한켐,,6510.0,62158,0.34,↓,7694.0,9775.67,28.33,-1067.17,-1041.2,508.57,32453065,0.18,9.0,★☆☆☆☆,OK
033310,엠투엔,,1314.0,42597,0.59,↑,1325.85,1464.08,42.43,-28.25,-36.91,65.43,173310716,0.57,28.5,★★☆☆☆,OK
043710,코스리거글로벌,,3030.0,2929,0.41,↓,3372.75,3872.42,29.91,-230.62,-216.98,311.07,41569418,0.22,11.0,★☆☆☆☆,OK
046940,우원개발,,2890.0,104581,0.05,↓,3313.25,3865.08,18.72,-179.91,-148.11,301.79,412246026,0.02,1.0,★☆☆☆☆,OK
347740,피엔케이피부임상연구센타,,1738.0,11092,0.46,↑,1734.25,1968.42,43.94,-36.81,-51.3,60.43,166678369,0.55,27.5,★★☆☆☆,OK
053450,세코닉스,,3545.0,28455,0.5,→,3481.5,4258.58,53.56,-121.65,-181.64,226.79,142416431,0.61,30.5,★★☆☆☆,OK
024910,경창산업,,1457.0,22762,0.27,↓,1486.45,1707.9,43.54,-47.39,-56.77,68.93,392256468,0.27,13.5,★☆☆☆☆,OK
136410,아셈스,,4730.0,21948,1.26,→,4988.0,5656.42,33.33,-211.09,-221.5,227.14,41334139,0.96,48.0,★★★☆☆,OK
299170,더블유에스아이,,1256.0,121843,0.72,↓,1319.65,1657.85,39.08,-77.46,-93.02,81.0,325657060,0.63,31.5,★★☆☆☆,OK
435570,에르코스,,6840.0,4369,0.15,↓,6728.0,7596.33,51.3,-15.48,-101.79,612.14,49219496,0.19,9.5,★☆☆☆☆,OK
082850,우리바이오,,1074.0,61189,0.26,↑,1115.35,1495.75,36.3,-79.28,-94.2,69.64,1846138599,0.21,10.5,★☆☆☆☆,OK
452400,이닉스,,5710.0,16606,1.03,↑,5659.5,6894.67,46.26,-228.51,-318.69,375.71,61624897,1.25,62.5,★★★★☆,OK
054300,팬스타엔터프라이즈,,899.0,51734,0.36,↓,926.95,965.57,37.89,-0.61,1.44,53.36,451444733,0.26,13.0,★☆☆☆☆,OK
040610,SG&G,,3040.0,18569,0.53,→,3121.25,3447.92,37.02,-60.85,-68.26,198.0,305361567,0.44,22.0,★★☆☆☆,OK
063440,SM Life Design,,1145.0,95549,0.88,↑,1123.25,1194.17,50.32,-3.35,-11.9,45.71,1686609888,1.18,59.0,★★★☆☆,OK
122310,제노레이,,3550.0,6019,0.52,↑,3377.75,3846.75,61.64,-38.09,-91.25,150.36,25047287,0.54,27.0,★★☆☆☆,OK
